"","mu","gamma","f","grow","rel_fit"
"10",0.00999999999999938,1.00000022379574e-08,9.9999999820343e-07,0.169999999999999,0.990000000000003
"20",0.0100000000000003,1.00000015417994e-08,9.99999998969523e-07,0.169999999999998,0.990000000000002
"30",0.0100000000000003,1.00000015417994e-08,9.99999998969523e-07,0.169999999999998,0.990000000000002
"40",0.0100000000000003,1.00000015417994e-08,9.99999998969523e-07,0.169999999999998,0.990000000000002
"50",0.0100000000000003,1.00000015417994e-08,9.99999998969523e-07,0.169999999999998,0.990000000000002
"60",0.0100000000000003,1.00000015417994e-08,9.99999998969523e-07,0.169999999999998,0.990000000000002
"70",0.00999999999999994,1.00000022040831e-08,1.00000000023547e-06,0.169999999999997,0.990000000000003
"80",0.00999999999999994,1.00000022040831e-08,1.00000000023547e-06,0.169999999999997,0.990000000000003
"90",0.00999999999999994,1.00000022040831e-08,1.00000000023547e-06,0.169999999999997,0.990000000000003
"100",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"110",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"120",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"130",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"140",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"150",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"160",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"170",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"180",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"190",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"200",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"210",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"220",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"230",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"240",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"250",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"260",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"270",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"280",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"290",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"300",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"310",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"320",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"330",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"340",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"350",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"360",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"370",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"380",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"390",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"400",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"410",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"420",0.00999999999999858,1.00000015093583e-08,9.99999999663074e-07,0.169999999999996,0.99
"430",0.00999999999999773,1.00000014374681e-08,1.00000000098352e-06,0.169999999999995,0.99
"440",0.00999999999999773,1.00000014374681e-08,1.00000000098352e-06,0.169999999999995,0.99
"450",0.00999999999999773,1.00000014374681e-08,1.00000000098352e-06,0.169999999999995,0.99
"460",0.00999999999999773,1.00000014374681e-08,1.00000000098352e-06,0.169999999999995,0.99
"470",0.00999999999999773,1.00000014374681e-08,1.00000000098352e-06,0.169999999999995,0.99
"480",0.00999999999999871,1.00000021741031e-08,1.00000000133698e-06,0.169999999999995,0.990000000000001
"490",0.00999999999999961,1.00000030716688e-08,9.99999997121944e-07,0.169999999999994,0.990000000000003
"500",0.00999999999999961,1.00000030716688e-08,9.99999997121944e-07,0.169999999999994,0.990000000000003
"510",0.00999999999999961,1.00000030716688e-08,9.99999997121944e-07,0.169999999999994,0.990000000000003
"520",0.00999999999999974,1.00000036428269e-08,9.99999998032645e-07,0.169999999999995,0.990000000000003
"530",0.00999999999999974,1.00000036428269e-08,9.99999998032645e-07,0.169999999999995,0.990000000000003
"540",0.00999999999999974,1.00000036428269e-08,9.99999998032645e-07,0.169999999999995,0.990000000000003
"550",0.00999999999999974,1.00000036428269e-08,9.99999998032645e-07,0.169999999999995,0.990000000000003
"560",0.00999999999999974,1.00000036428269e-08,9.99999998032645e-07,0.169999999999995,0.990000000000003
"570",0.00999999999999928,1.00000034006014e-08,9.99999999644212e-07,0.169999999999996,0.989999999999999
"580",0.00999999999999958,1.00000036924814e-08,1.0000000000532e-06,0.169999999999994,0.989999999999998
"590",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"600",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"610",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"620",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"630",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"640",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"650",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"660",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"670",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"680",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"690",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"700",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"710",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"720",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"730",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"740",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"750",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"760",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"770",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"780",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"790",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"800",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"810",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"820",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"830",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"840",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"850",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"860",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"870",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"880",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"890",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"900",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"910",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"920",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"930",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"940",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"950",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"960",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"970",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"980",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"990",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1000",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1010",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1020",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1030",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1040",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1050",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1060",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1070",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1080",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1090",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1100",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1110",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1120",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1130",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1140",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1150",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1160",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1170",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1180",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1190",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1200",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1210",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1220",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1230",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1240",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1250",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1260",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1270",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1280",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1290",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1300",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1310",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1320",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1330",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1340",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1350",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1360",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1370",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1380",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1390",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1400",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1410",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1420",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1430",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1440",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1450",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1460",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1470",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1480",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1490",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1500",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1510",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1520",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1530",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1540",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1550",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1560",0.00999999999999689,1.00000033338209e-08,1.00000000125546e-06,0.169999999999995,0.99
"1570",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1580",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1590",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1600",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1610",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1620",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1630",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1640",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1650",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1660",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1670",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1680",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1690",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1700",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1710",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1720",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1730",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1740",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1750",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1760",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1770",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1780",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1790",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1800",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1810",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1820",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1830",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1840",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1850",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1860",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1870",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1880",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1890",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1900",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1910",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1920",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1930",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1940",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1950",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1960",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1970",0.00999999999999685,1.000000453103e-08,1.0000000024798e-06,0.169999999999995,0.99
"1980",0.00999999999999821,1.00000052958625e-08,1.00000000177593e-06,0.169999999999995,0.989999999999998
"1990",0.00999999999999821,1.00000052958625e-08,1.00000000177593e-06,0.169999999999995,0.989999999999998
"2000",0.00999999999999821,1.00000052958625e-08,1.00000000177593e-06,0.169999999999995,0.989999999999998
